"Model no","Item Name","Qty Sold","Item Cost","Retail Price","Extended Cost","Total Revenue","Gross Profit","Gross Profit%","Sale Mode",Size,"Product No","Product color"
37453206,"FLC FZIP HOOD CHAR GRY XXL",12,18.05,39.99,216.6,384.91,168.31,0.548637159,In-store,XXL,374532,"CHAR GRY"
37463002,"FZIP HOOD NCST/WLFHD BLK SM",17,17.75,39.99,301.75,679.83,378.08,0.556139035,In-store,SM,374630,BLK
37463003,"FZIP HOOD NCST/WLFHD BLK MED",14,17.75,39.99,248.5,559.86,311.36,0.556139035,In-store,MED,374630,BLK
37463004,"FZIP HOOD NCST/WLFHD BLK LG",17,17.75,39.99,301.75,679.83,378.08,0.556139035,In-store,LG,374630,BLK
37463005,"FZIP HOOD NCST/WLFHD BLK XL",17,17.75,39.99,301.75,679.83,378.08,0.556139035,In-store,XL,374630,BLK
37463006,"FZIP HOOD NCST/WLFHD BLK XXL",4,17.75,39.99,71,159.96,88.96,0.556139035,In-store,XXL,374630,BLK
37463007,"FZIP HOOD NCST/WLFHD BLK 3XL",2,20.25,42.99,40.5,85.98,45.48,0.528960223,In-store,3XL,374630,BLK
38543202,"RW HOOD VAULT 1983 GRY SM",12,39.27,84.99,471.24,669.88,198.64,0.537945641,In-store,SM,385432,GRY
38543203,"RW HOOD VAULT 1983 GRY MED",32,39.27,84.99,1256.64,1894.81,638.17,0.537945641,In-store,MED,385432,GRY
38543204,"RW HOOD VAULT 1983 GRY LG",46,39.27,84.99,1806.42,2774.79,968.37,0.537945641,In-store,LG,385432,GRY
38543205,"RW HOOD VAULT 1983 GRY XL",27,39.27,84.99,1060.29,1693.49,633.2,0.537945641,In-store,XL,385432,GRY
38543206,"RW HOOD VAULT 1983 GRY XXL",10,39.27,84.99,392.7,637.4,244.7,0.537945641,In-store,XXL,385432,GRY
38876002,"FR. TERRY BLEND HOODIE RED/GRY SM",11,28,60,308,475.52,167.52,0.533333333,In-store,SM,388760,RED/GRY
38876003,"FR. TERRY BLEND HOODIE RED/GRY MED",18,28,60,504,1005,501,0.533333333,In-store,MED,388760,RED/GRY
38876004,"FR. TERRY BLEND HOODIE RED/GRY LG",19,28,60,532,1110,578,0.533333333,In-store,LG,388760,RED/GRY
38876005,"FR. TERRY BLEND HOODIE RED/GRY XL",14,28,60,392,760,368,0.533333333,In-store,XL,388760,RED/GRY
38876006,"FR. TERRY BLEND HOODIE RED/GRY XXL",8,28,60,224,345,121,0.533333333,In-store,XXL,388760,RED/GRY
